feature,mean_abs_shap
is_month_to_month,0.61744046
tenure,0.39500704
InternetService_Fiber_optic,0.27423933
Contract_Two_year,0.19135658
is_electronic_check,0.17205463
MonthlyCharges,0.14558011
avg_monthly_spend,0.14091443
TotalCharges,0.13033397
InternetService_No,0.12912701
PaperlessBilling_Yes,0.12737373
OnlineSecurity_Yes,0.11654545
charge_delta,0.09754893
StreamingMovies_Yes,0.09130804
TechSupport_Yes,0.0789969
MultipleLines_Yes,0.061547592
StreamingTV_Yes,0.060920503
Dependents_Yes,0.04069731
SeniorCitizen,0.040037036
PhoneService_Yes,0.037282772
Contract_One_year,0.031974092
