threshold,contacted,true_positives,false_positives,missed_churners,expected_saved,campaign_cost,net_value
0.1,1049,367,682,7,110.1,41960.0,13090.0
0.15,962,360,602,14,108.0,38480.0,15520.0
0.2,895,355,540,19,106.5,35800.0,17450.0
0.25,836,346,490,28,103.8,33440.0,18460.0
0.3,772,338,434,36,101.4,30880.0,19820.0
0.35,723,330,393,44,99.0,28920.0,20580.0
0.4,682,319,363,55,95.7,27280.0,20570.0
0.45,623,307,316,67,92.1,24920.0,21130.0
0.5,581,297,284,77,89.1,23240.0,21310.0
0.55,542,290,252,84,87.0,21680.0,21820.0
0.6,482,272,210,102,81.6,19280.0,21520.0
0.65,402,244,158,130,73.2,16080.0,20520.0
0.7,342,219,123,155,65.7,13680.0,19170.0
0.75,260,179,81,195,53.7,10400.0,16450.0
0.8,185,134,51,240,40.2,7400.0,12700.0
0.85,121,97,24,277,29.1,4840.0,9710.0
0.9,57,48,9,326,14.4,2280.0,4920.0
